Stock Price,Strike Price,Maturity,Dividends,Volatility,Risk-free,Call Price
216.04,192.5,0.0034449704667021573,0.0196,0.3191,0.0088,23.7
216.04,200.0,0.0034449704667021573,0.0196,0.3191,0.0088,16.5
216.04,202.5,0.0034449704667021573,0.0196,0.3191,0.0088,14.1
216.04,205.0,0.0034449704667021573,0.0196,0.3191,0.0088,11.6
216.04,207.5,0.0034449704667021573,0.0196,0.3191,0.0088,9.2
216.04,210.0,0.0034449704667021573,0.0196,0.3191,0.0088,7.0
216.04,212.5,0.0034449704667021573,0.0196,0.3191,0.0088,5.1
216.04,215.0,0.0034449704667021573,0.0196,0.3191,0.0088,3.1
216.04,217.5,0.0034449704667021573,0.0196,0.3191,0.0088,1.65
216.04,220.0,0.0034449704667021573,0.0196,0.3191,0.0088,0.75
216.04,222.5,0.0034449704667021573,0.0196,0.3191,0.0088,0.3
216.04,225.0,0.0034449704667021573,0.0196,0.3191,0.0088,0.4
216.04,227.5,0.0034449704667021573,0.0196,0.3191,0.0088,0.75
216.04,230.0,0.0034449704667021573,0.0196,0.3191,0.0088,0.4
216.04,232.5,0.0034449704667021573,0.0196,0.3191,0.0088,1.35
216.04,235.0,0.0034449704667021573,0.0196,0.3191,0.0088,0.5
216.04,190.0,0.022609925976626866,0.0196,0.3191,0.0088,26.7
216.04,195.0,0.022609925976626866,0.0196,0.3191,0.0088,21.7
216.04,200.0,0.022609925976626866,0.0196,0.3191,0.0088,16.9
216.04,202.5,0.022609925976626866,0.0196,0.3191,0.0088,14.6
216.04,205.0,0.022609925976626866,0.0196,0.3191,0.0088,12.3
216.04,207.5,0.022609925976626866,0.0196,0.3191,0.0088,10.1
216.04,210.0,0.022609925976626866,0.0196,0.3191,0.0088,8.3
216.04,212.5,0.022609925976626866,0.0196,0.3191,0.0088,6.4
216.04,215.0,0.022609925976626866,0.0196,0.3191,0.0088,4.7
216.04,217.5,0.022609925976626866,0.0196,0.3191,0.0088,3.3
216.04,220.0,0.022609925976626866,0.0196,0.3191,0.0088,2.2
216.04,222.5,0.022609925976626866,0.0196,0.3191,0.0088,1.45
216.04,225.0,0.022609925976626866,0.0196,0.3191,0.0088,0.8
216.04,230.0,0.022609925976626866,0.0196,0.3191,0.0088,0.25
216.04,235.0,0.022609925976626866,0.0196,0.3191,0.0088,0.15
216.04,240.0,0.022609925976626866,0.0196,0.3191,0.0088,0.1
216.04,250.0,0.022609925976626866,0.0196,0.3191,0.0088,0.35
216.04,200.0,0.04177488148655158,0.0196,0.3191,0.0088,17.9
216.04,205.0,0.04177488148655158,0.0196,0.3191,0.0088,13.7
216.04,210.0,0.04177488148655158,0.0196,0.3191,0.0088,9.3
216.04,215.0,0.04177488148655158,0.0196,0.3191,0.0088,5.9
216.04,220.0,0.04177488148655158,0.0196,0.3191,0.0088,3.4
216.04,225.0,0.04177488148655158,0.0196,0.3191,0.0088,1.75
216.04,230.0,0.04177488148655158,0.0196,0.3191,0.0088,0.85
216.04,235.0,0.04177488148655158,0.0196,0.3191,0.0088,0.35
216.04,240.0,0.04177488148655158,0.0196,0.3191,0.0088,0.75
216.04,245.0,0.04177488148655158,0.0196,0.3191,0.0088,0.55
216.04,280.0,0.04177488148655158,0.0196,0.3191,0.0088,1.5
216.04,295.0,0.04177488148655158,0.0196,0.3191,0.0088,0.05
216.04,200.0,0.06093983699647629,0.0196,0.3191,0.0088,19.8
216.04,205.0,0.06093983699647629,0.0196,0.3191,0.0088,15.3
216.04,210.0,0.06093983699647629,0.0196,0.3191,0.0088,11.3
